NoPaymentDue,Enlisted,Enrolled,Units,Disabled,Unemployed,Region,Marital_Status,Gender,Longest_Absence_From_School,Filed_For_Bankruptcy,LongTermPlanningScore,DecisionStyle,PowerOrientedScore,CommunityOrientedScore,Parent_Education_Level,Credit_Score_Raw,Credit_Score_AgeAdj,Loan_Amount,HS_Math,HS_Science,HS_English,Family_Income_normalized,School_occ,School_smc,School_ucb,School_uci,School_ucla,School_ucsd,Service_air_force,Service_army,Service_fire_department,Service_foreign_legion,Service_marines,Service_navy,Service_peace_corps
pos,1,1,7.0,0,0,3,1,0,4,0,0.5754768546449593,1,0.7547726757149213,0.2738792496993483,3,0.6861569779226557,0.5012274259882507,1,8.0,9.0,5.0,0.7320106836999727,0,0,1,1,0,0,1,0,0,0,0,0,0
pos,0,1,12.0,0,1,5,0,0,1,0,0.7022573080746486,1,0.7328538382513581,0.642865817813151,0,0.6662307620466891,0.642865817813151,1,9.0,9.0,10.0,0.21795381286151944,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,1,1,1.0,0,0,4,1,0,4,0,0.5073095025596415,1,0.5245817229615295,0.13280549581395462,0,0.47689247541957225,0.4281453647984777,0,8.0,6.0,8.0,0.8386854678224194,0,1,0,0,0,0,0,0,0,0,0,1,0
pos,0,1,15.0,0,0,2,0,1,0,0,0.7487764296156456,1,0.7678953484298472,0.36220229713900093,3,0.6980866803907702,0.36220229713900093,1,7.0,9.0,10.0,0.5864826337305571,0,0,1,1,0,0,0,0,0,0,0,0,0
pos,0,1,7.0,0,0,3,0,1,4,0,0.8542060506952112,1,0.6818289982358148,0.4497109298636133,3,0.6198445438507406,0.49833609789586775,1,10.0,10.0,9.0,0.6417955264791315,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,0,1,4.0,0,0,1,0,0,8,1,0.9322931522983506,0,1.0,0.34161039142145455,3,0.9690444348370875,0.916095221757625,1,9.0,9.0,8.0,0.5035453997794819,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,0,1,8.0,0,0,4,1,0,2,1,0.6946173016449393,0,1.0,0.03882412967142557,3,1.0,0.44177852835080345,1,8.0,7.0,10.0,0.713318965069448,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,15.0,0,0,1,0,0,8,0,0.7871829912134367,1,0.7414717806741624,0.6737948646959921,1,0.6713432538987008,0.7414717806741624,1,9.0,8.0,7.0,0.1694940287509636,0,0,0,1,0,1,0,0,0,0,0,0,0
pos,0,1,9.0,0,0,4,0,1,3,0,0.5466174532402874,1,0.7211981388627465,0.013707847594560008,0,0.6556346716934058,0.3780073577820463,1,10.0,8.0,7.0,0.2028248295515777,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,0,1,6.0,0,0,2,0,1,0,1,0.9842159668328295,0,1.0,0.8196075028208725,1,0.9881500309717013,0.9803090406727318,1,9.0,8.0,9.0,0.3744874906860581,0,1,0,0,0,1,0,0,0,0,0,0,0
pos,0,1,14.0,0,0,5,0,1,1,0,0.820208419834216,1,0.7805581794003582,0.49381580333374586,0,0.5042351147856607,0.7805581794003582,1,8.0,7.0,5.0,0.9537286245581156,0,0,0,1,0,1,0,0,0,0,0,0,0
pos,0,1,12.0,0,0,2,1,0,6,0,0.9530959958829044,1,0.5744614453322537,0.1808294128777561,1,0.5222376775747761,0.4353162190544625,1,6.0,7.0,10.0,0.1720898539271008,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,0,1,11.0,1,0,2,0,1,4,0,0.8202868394985946,1,0.7806514664242777,0.2811977979408766,3,0.6358517548846067,0.7806514664242777,1,7.0,4.0,8.0,0.15767869970174103,1,0,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,2.0,0,1,5,1,1,7,0,0.7433563292825841,1,0.7632762973628087,0.6902339304056256,0,0.6938875430570988,0.6902339304056256,0,10.0,8.0,10.0,0.10024298545804694,0,0,1,0,0,0,0,0,0,0,0,0,0
pos,1,1,2.0,0,0,1,1,0,8,1,0.7909908204369374,1,0.7692655059453865,0.6475532555086829,3,0.6993322781321695,0.7459578771156438,0,9.0,8.0,7.0,0.811383179668677,1,0,0,0,0,0,0,1,0,0,0,0,0
pos,1,1,8.0,1,0,1,1,0,0,0,0.722311741012026,1,0.6658951363427117,0.028925731538038235,1,0.3920479082561542,0.6658951363427117,1,4.0,3.0,10.0,0.7477079222922165,1,0,0,0,0,0,1,0,0,0,0,0,0
pos,0,1,12.0,0,0,5,0,0,4,0,0.8864735150646844,1,0.8601658691758182,0.31021053790482256,1,0.6389962858698709,0.8601658691758182,1,10.0,6.0,7.0,0.5103012541544281,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,0,1,8.0,1,0,3,0,0,5,0,0.7945894325845004,1,0.7502024553519109,0.5873743371539604,0,0.6293973451405691,0.7502024553519109,1,7.0,8.0,9.0,0.7280926010784083,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,1,1,11.0,0,0,3,0,1,5,0,0.45469165915510396,1,0.42305052081203026,0.3733758587706435,3,0.38459138255639114,0.3733758587706435,1,10.0,9.0,7.0,0.7639875599656392,0,0,0,0,1,0,0,0,1,0,0,0,0
pos,0,1,8.0,0,0,2,1,0,1,0,0.6919423852812986,1,0.7639855627593353,0.4573908871088861,1,0.6945323297812138,0.6310843609195912,1,6.0,5.0,4.0,0.2640757396674855,1,0,0,0,0,0,0,0,0,0,0,0,0
pos,1,1,13.0,0,0,1,1,0,9,0,0.7890871430672632,1,0.44663980330019903,0.21579043389829167,0,0.3256281018627305,0.44663980330019903,1,9.0,8.0,8.0,0.7750425033672879,1,0,0,0,0,0,1,0,0,0,0,0,0
pos,0,1,11.0,0,0,4,1,1,4,0,0.5874503054909868,1,0.5665392809955302,0.002928712084212748,3,0.5150357099959365,0.5142969129371688,1,10.0,10.0,8.0,0.49273653344501506,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,1,1,4.0,0,0,1,1,1,6,0,0.8673159933795761,1,0.8369927450788627,0.5144000163854798,0,0.5921540225970603,0.8369927450788627,1,10.0,9.0,9.0,0.12175082206137228,0,1,0,0,0,0,0,1,0,0,0,0,0
pos,0,1,10.0,0,0,2,0,1,1,0,0.7767184494351019,1,0.7291712324620743,0.7291712324620743,3,0.5558613955829059,0.7291712324620743,1,6.0,7.0,3.0,0.7531629226695933,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,0,1,12.0,0,0,2,0,0,2,0,0.8067694169494644,1,0.6110012549932798,0.41266890658037725,3,0.5554556863575271,0.41266890658037725,1,9.0,9.0,8.0,0.9256903581973388,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,10.0,0,0,4,1,0,2,0,0.8481756753199079,1,0.6637780742277951,0.34762368644805974,1,0.37744860194434293,0.6637780742277951,1,4.0,6.0,9.0,0.8977807628564314,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,1,1,13.0,0,0,3,1,1,6,0,0.8095142284755996,1,0.76785746044631,0.022403122037758294,0,0.4735191417988063,0.76785746044631,1,8.0,8.0,6.0,0.9066625678855407,0,0,0,0,1,1,0,0,1,0,0,0,0
pos,1,1,15.0,0,0,2,1,1,1,0,0.6019328623392801,1,0.5333278522245746,0.4680874736768601,3,0.4848435020223405,0.530194316190894,1,9.0,7.0,9.0,0.8025494385224761,0,1,0,0,0,0,0,0,0,0,1,0,0
pos,0,1,9.0,0,0,2,1,1,3,0,0.7070357223474275,1,0.6163330935131489,0.3413081767138753,3,0.5603028122846808,0.3413081767138753,1,10.0,6.0,6.0,0.09223834629201538,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,5.0,0,0,3,0,0,3,1,0.9307451818778367,0,0.944654897999517,0.7091217224005959,0,0.8587771799995608,0.9141942721241778,1,10.0,9.0,7.0,0.48431196113534386,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,0,1,16.0,0,0,5,0,1,7,1,0.9968351174484269,0,1.0,0.36581485012447956,3,0.9138143236965335,0.7378927173282106,1,7.0,7.0,6.0,0.1339869604187665,1,0,1,0,0,0,0,0,0,0,0,0,0
pos,1,1,9.0,0,1,3,1,1,9,0,0.8406819245276196,1,0.8049884278825735,0.7276136032196661,0,0.6953343843466429,0.8049884278825735,1,10.0,9.0,9.0,0.0980863690452572,0,0,1,0,1,0,0,0,1,0,0,0,0
pos,0,1,8.0,0,0,2,1,1,4,0,0.7895503666125773,1,0.7442602070219172,0.41198738086315245,3,0.5404338541646212,0.7442602070219172,1,9.0,10.0,7.0,0.5049472630309759,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,0,1,7.0,1,0,2,0,0,6,0,0.7085632595302707,1,0.6500897026143329,0.587819748482616,1,0.539020603015888,0.6500897026143329,1,10.0,8.0,9.0,0.03486146023833925,1,0,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,10.0,1,0,5,0,1,1,0,0.5243496244328606,1,0.6764849463931387,0.4461965434315068,0,0.6149863149028534,0.4461965434315068,1,8.0,7.0,6.0,0.15282262036529298,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,0,1,11.0,0,0,1,1,1,0,0,0.8432694520119111,1,0.808086702009715,0.808086702009715,3,0.6455287884775316,0.808086702009715,1,10.0,10.0,7.0,0.7126091466320172,0,1,1,0,0,0,0,0,0,0,0,0,0
pos,0,1,10.0,0,0,1,0,0,5,0,0.8576668755595165,1,0.6437276966005812,0.6326390513374315,0,0.5852069969096192,0.6326390513374315,1,9.0,8.0,5.0,0.22275970048690957,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,7.0,0,0,2,1,0,5,1,0.7008458784539471,0,1.0,0.45465880503376965,0,1.0,0.45465880503376965,1,7.0,7.0,8.0,0.5390364468173761,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,0,1,14.0,0,0,3,1,0,4,0,0.5198350478337066,1,0.6114068593001503,0.0005216363870204077,1,0.5558244175455911,0.4413996108470245,1,10.0,8.0,7.0,0.8087401667741636,0,1,1,0,0,0,0,0,0,0,0,0,0
pos,0,1,13.0,1,0,3,1,0,0,0,0.7284325012384093,1,0.6729559598058016,0.520336368081189,0,0.5618589674109898,0.6729559598058016,1,7.0,8.0,7.0,0.09306169061954467,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,0,1,6.0,0,0,1,1,1,3,0,0.23986893506703008,1,0.6262366068987195,0.16786784251120876,1,0.5693060062715631,0.16786784251120876,1,7.0,7.0,8.0,0.768684052190868,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,0,1,12.0,0,0,2,0,1,6,0,0.7572073336890092,1,0.7063476659401107,0.7063476659401107,0,0.5396206739165791,0.7063476659401107,1,7.0,7.0,9.0,0.3419459889625798,1,0,0,0,0,0,0,0,0,0,0,0,0
pos,1,1,6.0,0,0,2,1,0,5,0,0.6133149600229931,1,0.6114116391680909,0.29293076078283775,3,0.5558287628800826,0.5427557682411626,1,8.0,8.0,10.0,0.6293648795955924,0,0,0,0,1,0,0,0,0,1,0,0,0
pos,0,1,10.0,0,0,3,0,1,4,0,0.26616846612294925,1,0.566009686083562,0.19118145051120897,1,0.5145542600759654,0.19118145051120897,1,10.0,8.0,10.0,0.26107049532209486,0,0,0,1,0,1,0,0,0,0,0,0,0
pos,0,1,13.0,0,0,5,0,0,0,0,0.6606216009885665,1,0.656177695996139,0.35627518782985135,0,0.5965251781783081,0.5955811756313106,1,6.0,7.0,9.0,0.09988213083714886,1,0,0,0,0,1,0,0,0,0,0,0,0
pos,0,1,10.0,0,1,2,1,1,4,0,0.85262703767083,1,0.8193111695281843,0.4397391472512311,3,0.554742242215616,0.8193111695281843,1,9.0,7.0,8.0,0.0006076826862502771,1,0,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,3.0,0,1,4,1,0,8,0,0.6972943057524786,1,0.6371917561438837,0.45087154647899297,3,0.5785253392637969,0.6371917561438837,1,7.0,10.0,10.0,0.5259359095658016,0,0,1,1,0,0,0,0,0,0,0,0,0
pos,1,1,12.0,0,1,3,1,0,3,0,0.4351368480807406,1,0.5476642861076106,0.10859477376743598,0,0.4978766237341915,0.35341284243538523,1,7.0,8.0,6.0,0.8812353969970335,0,1,0,0,0,0,0,1,0,0,0,0,0
pos,0,1,9.0,0,0,4,0,1,1,0,0.8341040955565071,1,0.7971229572514373,0.7971229572514373,3,0.5475589548901553,0.7971229572514373,1,9.0,8.0,7.0,0.6111247611982273,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,1,1,2.0,0,0,2,1,0,1,1,0.9323186710498703,0,0.8925768461008922,0.5904008053529617,1,0.8114334964553565,0.5904008053529617,0,10.0,9.0,9.0,0.8259591779924491,0,0,0,1,0,0,0,0,1,0,0,0,0
pos,0,1,10.0,1,0,3,1,0,4,0,0.7488650017453187,1,0.6973378290198645,0.46751968029002455,3,0.6339434809271495,0.6966336005626872,1,9.0,4.0,8.0,0.6783305861403037,1,0,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,17.0,0,0,4,1,0,1,0,0.816131702535468,1,0.7757116436475197,0.7108110076032972,0,0.6878327177144457,0.7757116436475197,1,9.0,6.0,6.0,0.4033449708844267,1,0,0,0,0,1,0,0,0,0,0,0,0
pos,0,1,12.0,0,0,5,0,0,5,1,0.9479709219455323,0,1.0,0.6066584189356945,3,0.9233210933196461,0.9353922557402892,1,10.0,9.0,9.0,0.0936848939346509,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,0,1,6.0,0,0,1,0,1,8,1,0.9313651735024188,0,1.0,0.4625348778345142,0,0.9438336883145894,0.9149555438307317,1,8.0,9.0,9.0,0.4522977852938787,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,0,1,10.0,0,0,3,0,1,4,0,0.8555245390532842,1,0.8227930008551636,0.23940650618169457,0,0.6971067597414731,0.8227930008551636,1,8.0,10.0,8.0,0.45119481931422084,1,0,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,21.0,0,0,2,1,0,0,0,0.7619853808823525,1,0.711923451106001,0.3765169016123764,3,0.5115644141378652,0.711923451106001,1,9.0,10.0,10.0,0.4062202925463306,1,0,1,0,0,0,0,0,0,0,0,0,0
pos,0,1,9.0,0,0,3,1,1,5,0,0.6421217694254092,1,0.5790788616054852,0.5172440220576391,1,0.5264353287322592,0.5748065948234007,1,9.0,5.0,6.0,0.26875858875928466,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,1,1,16.0,0,0,5,0,0,0,0,0.7557552946449544,1,0.7046549353365035,0.7046549353365035,1,0.5260174521956287,0.7046549353365035,1,5.0,10.0,10.0,0.6619465597211893,0,0,0,1,0,1,0,0,0,0,0,1,0
pos,0,1,4.0,1,0,2,1,1,4,0,0.80005530749361,1,0.7566586710150554,0.6524877582096451,0,0.5309069734248624,0.7566586710150554,1,10.0,10.0,10.0,0.7032454511102066,0,1,0,0,0,1,0,0,0,0,0,0,0
pos,1,1,8.0,0,1,2,0,0,1,0,0.4208430914387156,1,0.6098436017802851,0.3389614062372243,2,0.5544032743457137,0.3389614062372243,1,8.0,9.0,9.0,0.007259648980951827,0,0,0,1,0,1,0,0,0,0,0,1,0
pos,1,1,8.0,0,0,4,0,1,5,1,0.9586457817249538,1,0.8718608395923194,0.8473922258162929,1,0.6971283171831635,0.8718608395923194,1,10.0,7.0,7.0,0.8267939124588968,0,1,1,0,0,0,0,0,0,0,0,1,0
pos,1,1,17.0,0,0,4,0,0,0,0,0.7607049117600357,1,0.7104283364130262,0.19615717549368128,0,0.5165501112863153,0.7104283364130262,1,9.0,6.0,6.0,0.8477541462296072,0,1,0,0,0,1,0,0,0,0,0,0,1
pos,1,1,11.0,1,0,1,0,1,3,0,0.8206210050405623,1,0.7810490104453535,0.46082128323905636,2,0.6596724952205477,0.7810490104453535,1,7.0,6.0,8.0,0.43419635122532224,0,1,0,0,0,0,0,0,0,0,1,0,0
pos,0,1,12.0,1,0,5,0,0,9,0,0.6943215948684914,1,0.6337979661023994,0.6337979661023994,2,0.5394511991282342,0.6337979661023994,1,9.0,10.0,10.0,0.4295481732157253,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,0,1,5.0,0,1,4,0,1,4,0,0.8091287317020247,1,0.7674004132737781,0.26205772106641234,1,0.526737214548848,0.7674004132737781,1,6.0,7.0,8.0,0.02143699244258024,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,0,1,10.0,0,0,5,1,1,5,0,0.6072644346836875,1,0.690218309882348,0.5360709935629221,3,0.6274711908021345,0.5360709935629221,1,10.0,10.0,8.0,0.34615070255253005,0,0,0,0,1,0,0,0,0,0,0,0,0
pos,0,1,12.0,0,0,4,0,1,4,0,0.7553248448184604,1,0.7044330720390098,0.2918392569890784,2,0.6403937018536453,0.4990005789673889,1,7.0,5.0,6.0,0.3504884679850105,0,0,0,1,0,1,0,0,0,0,0,0,0
pos,0,1,1.0,1,0,4,0,1,2,0,0.6292991933832326,1,0.5630201787007718,0.317702583224091,1,0.5118365260916107,0.317702583224091,0,6.0,10.0,9.0,0.061717029647029575,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,11.0,0,0,3,0,1,3,0,0.5923511698053273,1,0.561604563713463,0.5196657125242073,3,0.5105496033758754,0.5196657125242073,1,9.0,7.0,8.0,0.0976596769180837,0,0,0,1,0,0,0,0,0,0,0,0,0
pos,0,1,10.0,0,0,1,1,0,3,0,0.40503749439161046,1,0.7228175459205887,0.3231238648475215,0,0.6571068599278078,0.3231238648475215,1,6.0,10.0,7.0,0.08057935002860678,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,1,1,4.0,0,1,3,0,1,3,1,0.6807383930546375,0,0.9577960900545623,0.6183371023040233,1,0.8707237182314203,0.6183371023040233,1,2.0,3.0,4.0,0.1702437752577895,0,1,0,0,0,0,0,0,0,0,1,0,0
pos,0,1,7.0,0,0,4,1,0,5,1,0.9173736515760137,0,0.9055146495095141,0.897806670810399,0,0.8231951359177401,0.897806670810399,1,4.0,6.0,8.0,0.4227759220473912,0,1,0,0,0,0,0,0,0,0,0,0,0
pos,0,1,4.0,0,1,4,1,1,3,0,0.728916942247856,1,0.6735154395116449,0.3670137245899241,2,0.5646051670257293,0.6735154395116449,1,8.0,10.0,8.0,0.5208591619336049,0,1,0,0,0,1,0,0,0,0,0,0,0
pos,0,1,11.0,0,1,2,0,0,1,0,0.7021357728307702,1,0.6427267499053205,0.388168891307032,3,0.3335158055720058,0.6427267499053205,1,3.0,5.0,7.0,0.8156663725674385,1,0,0,0,0,0,0,0,0,0,0,0,0
